varmegye_kod,varmegye,oevk,telepules_kod,telepules,tevk,szavazokor,szavazokor_cim,iranyitoszam,pir,kijelolt,akadalymentes,szavazokor_id,oevk_id
04,BÉKÉS,02,054,Murony,,002,Szarvasi utca 1/4. (Közösségi Színtér),5672,5672,N,I,04-054-002,04-02
04,BÉKÉS,04,055,Nagybánhegyes,,001,Kossuth utca 64.,5668,5668,N,I,04-055-001,04-04
04,BÉKÉS,04,056,Nagykamarás,,001,Irinyi u. 30. (Falumúzeum),5751,5751,N,N,04-056-001,04-04
04,BÉKÉS,04,056,Nagykamarás,,002,Petőfi u. 24. (Idősek Kl.),5751,5751,N,I,04-056-002,04-04
04,BÉKÉS,04,057,Nagyszénás,,001,Szabadság u. 8. (Idősek klubja),5931,5931,N,I,04-057-001,04-04
04,BÉKÉS,04,057,Nagyszénás,,002,Táncsics u. 24. (Iskola),5931,5931,N,I,04-057-002,04-04
04,BÉKÉS,04,057,Nagyszénás,,003,Hősök útja 6. (Iskola),5931,5931,N,I,04-057-003,04-04
04,BÉKÉS,04,057,Nagyszénás,,004,József A. u. 36. (Óvoda),5931,5931,N,I,04-057-004,04-04
04,BÉKÉS,03,058,Okány,,001,Kossuth utca 6. (Iskola),5534,5534,N,I,04-058-001,04-03
04,BÉKÉS,03,058,Okány,,002,Rákóczi utca 55. (Műv. Ház),5534,5534,N,I,04-058-002,04-03
04,BÉKÉS,04,059,Orosháza,01,001,Vörösmarty u. 4. (Vörösmarty iskola),5900,5900,N,I,04-059-001,04-04
04,BÉKÉS,04,059,Orosháza,01,002,Bajcsy-Zs. u. 36. (Óvoda),5900,5900,N,I,04-059-002,04-04
04,BÉKÉS,04,059,Orosháza,01,003,Bajcsy-Zs. u. 1. (Evang. Ált. Isk. és Gimn.),5900,5900,N,I,04-059-003,04-04
04,BÉKÉS,04,059,Orosháza,02,004,Kossuth Lajos u. 3. (Petőfi Művelődési Központ),5900,5900,N,I,04-059-004,04-04
04,BÉKÉS,04,059,Orosháza,02,005,Kossuth Lajos u. 3. (Petőfi Művelődési Központ),5900,5900,N,I,04-059-005,04-04
04,BÉKÉS,04,059,Orosháza,02,006,Kossuth Lajos u. 3. (Petőfi Művelődési Központ),5900,5900,N,I,04-059-006,04-04
04,BÉKÉS,04,059,Orosháza,03,007,Móricz Zs. u. 33. (Óvoda),5900,5900,N,I,04-059-007,04-04
04,BÉKÉS,04,059,Orosháza,03,008,Bajcsy-Zs. u. 36. (Óvoda),5900,5900,N,I,04-059-008,04-04
04,BÉKÉS,04,059,Orosháza,03,009,Dankó István u. 11. (Porta kocsma),5900,5900,N,I,04-059-009,04-04
04,BÉKÉS,04,059,Orosháza,04,010,Fürdő u. 5. (Városüzem. és Szolg. Zrt.),5900,5900,N,I,04-059-010,04-04
04,BÉKÉS,04,059,Orosháza,04,011,Fürdő u. 5. (Városüzem. és Szolg. Zrt.),5900,5900,N,I,04-059-011,04-04
04,BÉKÉS,04,059,Orosháza,05,012,Könd u. 86. (Óvoda),5900,5900,N,I,04-059-012,04-04
04,BÉKÉS,04,059,Orosháza,05,013,Könd u. 86. (Óvoda),5900,5900,N,I,04-059-013,04-04
04,BÉKÉS,04,059,Orosháza,05,014,Töhötöm u. 46. (Nyugdíjas Ház),5900,5900,N,I,04-059-014,04-04
04,BÉKÉS,04,059,Orosháza,06,015,Táncsics M. u. 2. (Táncsics Gimnázium),5900,5900,N,I,04-059-015,04-04
04,BÉKÉS,04,059,Orosháza,06,016,Táncsics M. u. 2. (Táncsics Gimnázium),5900,5900,N,I,04-059-016,04-04
04,BÉKÉS,04,059,Orosháza,06,017,Csorvási út 66/A. (Magyar Közút Zrt.),5900,5900,N,N,04-059-017,04-04
04,BÉKÉS,04,059,Orosháza,07,018,Lehel u. 23. (Óvoda),5900,5900,N,I,04-059-018,04-04
04,BÉKÉS,04,059,Orosháza,07,019,Uzsoki u. 31. (Óvoda),5900,5900,N,I,04-059-019,04-04
04,BÉKÉS,04,059,Orosháza,07,020,Fűtőház u. 3. (Mátrai Stadion),5900,5900,N,I,04-059-020,04-04
04,BÉKÉS,04,059,Orosháza,08,021,Ifjúság u. 9. (Czina Általános Iskola),5900,5900,N,I,04-059-021,04-04
04,BÉKÉS,04,059,Orosháza,08,022,Ifjúság u. 9. (Czina Általános Iskola),5900,5900,N,I,04-059-022,04-04
04,BÉKÉS,04,059,Orosháza,08,023,Felsősóstanyák 110. (Vegyesbolt),5908,5908,N,I,04-059-023,04-04
04,BÉKÉS,04,059,Orosháza,08,024,Kiscsákó tanya (Orvosi rendelő),5909,5909,I,I,04-059-024,04-04
04,BÉKÉS,04,059,Orosháza,08,025,Csorvási út 66/A. (Magyar Közút Zrt.),5911,5911,N,N,04-059-025,04-04
04,BÉKÉS,04,059,Orosháza,09,026,Fasor u. 3. (Fürdő),5904,5904,N,I,04-059-026,04-04
04,BÉKÉS,04,059,Orosháza,09,027,Iskola u 36. (Általános Iskola),5903,5903,N,I,04-059-027,04-04
04,BÉKÉS,04,059,Orosháza,09,028,Iskola u. 36. (Általános Iskola),5903,5903,N,I,04-059-028,04-04
04,BÉKÉS,04,059,Orosháza,10,029,Iglói út 7. (Idősek Klubja),5900,5900,N,I,04-059-029,04-04
04,BÉKÉS,04,059,Orosháza,10,030,Kosztolányi u. 2-4. (volt Iskola),5905,5905,N,I,04-059-030,04-04
04,BÉKÉS,04,059,Orosháza,10,031,Mátyás király u. 33. (Óvoda),5905,5905,N,I,04-059-031,04-04
04,BÉKÉS,02,060,Örménykút,,001,Dózsa György utca 26. (Művelődési Ház),5556,5556,N,I,04-060-001,04-02
04,BÉKÉS,04,061,Pusztaföldvár,,001,Szabadság tér 1. (Konyha),5919,5919,N,I,04-061-001,04-04
04,BÉKÉS,04,061,Pusztaföldvár,,002,Dózsa u. 25. (Újfalusi Iskola),5919,5919,N,I,04-061-002,04-04
04,BÉKÉS,04,062,Pusztaottlaka,,001,Dragán utca 12. (Művelődési Ház),5665,5665,N,I,04-062-001,04-04
04,BÉKÉS,04,062,Pusztaottlaka,,002,Petőfi utca 11. (régi iskola),5665,5665,N,N,04-062-002,04-04
04,BÉKÉS,03,063,Sarkad,,001,Gyulai út 17. (iskola),5720,5720,N,I,04-063-001,04-03
04,BÉKÉS,03,063,Sarkad,,002,Epreskert u. 2. (óvoda),5720,5720,N,I,04-063-002,04-03
04,BÉKÉS,03,063,Sarkad,,003,"Anti út 40, (Magyar Közút Sarkadi Üzemmérnöksége)",5720,5720,N,I,04-063-003,04-03
04,BÉKÉS,03,063,Sarkad,,004,Vasút u. 2. (középiskola),5720,5720,N,I,04-063-004,04-03
04,BÉKÉS,03,063,Sarkad,,005,Vár u. 2/B. (Bartók Béla Művelődési Központ),5720,5720,N,I,04-063-005,04-03
04,BÉKÉS,03,063,Sarkad,,006,Veress Sándor u. 4.,5720,5720,N,I,04-063-006,04-03
04,BÉKÉS,03,063,Sarkad,,007,Kossuth u. 17. (iskola),5720,5720,N,I,04-063-007,04-03
04,BÉKÉS,03,063,Sarkad,,008,Szent István tér 7. (Járási Hivatal),5720,5720,N,I,04-063-008,04-03
04,BÉKÉS,03,064,Sarkadkeresztúr,,001,Vörösmarty u. 7. (Községháza),5731,5731,N,I,04-064-001,04-03
04,BÉKÉS,03,064,Sarkadkeresztúr,,002,Rákóczi u. 54. (Vadászház),5731,5731,N,N,04-064-002,04-03
04,BÉKÉS,03,064,Sarkadkeresztúr,,003,Okányi u. 21. (Kultúrház),5731,5731,N,N,04-064-003,04-03
04,BÉKÉS,01,065,Szabadkígyós,,001,Kossuth tér 1. (Ált. Iskola),5712,5712,N,I,04-065-001,04-01
04,BÉKÉS,01,065,Szabadkígyós,,002,Kossuth tér 1. (Ált. isk.),5712,5712,N,I,04-065-002,04-01
04,BÉKÉS,01,065,Szabadkígyós,,003,Kossuth tér 6. (Művelődési ház),5712,5712,N,I,04-065-003,04-01
04,BÉKÉS,02,066,Szarvas,01,001,Fő tér 3. (Ált. Iskola),5540,5540,N,I,04-066-001,04-02
04,BÉKÉS,02,066,Szarvas,01,002,Kossuth L.u. 43. (Gimnázium),5540,5540,N,I,04-066-002,04-02
