source,target,kozos_hatar_m
N000182,N000290,5135.294
N000183,N000261,6531.078
N000183,N000267,2469.116
N000183,N000258,1221.951
N000185,N000282,3694.18
N000186,N000215,1806.951
N000186,N000195,5473.718
N000186,N001967,1961.266
N000187,N002402,903.43
N000187,N002366,1843.631
N000188,N000234,2153.953
N000188,N000293,5918.422
N000188,N000294,3006.063
N000189,N000254,683.449
N000189,N003762,345.064
N000189,N003760,2047.228
N000189,N000225,2480.914
N000189,N003759,350.266
N000190,N000278,2099.255
N000190,N000230,5860.394
N000190,N000243,1420.706
N000191,N000298,1822.759
N000191,N000219,2894.403
N000192,N000255,2116.976
N000192,N000226,3875.956
N000192,N000194,2798.779
N000192,N000196,4443.244
N000193,N000232,9764.598
N000193,N000208,1681.785
N000193,N000295,2588.305
N000194,N000196,7117.981
N000195,N000215,1063.487
N000195,N000277,4180.132
N000197,N000241,7327.777
N000197,N000256,3977.702
N000198,N000257,4424.053
N000199,N000252,2883.929
N000200,N000234,254.206
N000201,N003792,7900.683
N000202,N000283,3139.12
N000202,N000229,1148.721
N000203,N000298,2297.361
N000203,N000219,1563.115
N000203,N002449,3425.67
N000204,N000247,3369.962
N000204,N000265,3292.093
N000204,N000224,2215.965
N000205,N000292,986.477
N000205,N002351,2444.336
N000205,N002410,780.465
N000205,N002359,4352.916
N000206,N000274,3062.409
N000207,N000229,2859.181
N000208,N000294,1509.424
N000208,N000295,4039.06
N000208,N000281,7741.68
N000209,N000251,3309.947
N000209,N000292,10331.53
N000209,N000235,7462.894
N000210,N000277,4016.926
N000210,N000261,2135.02
N000210,N000236,7680.201
N000211,N000227,909.972
N000211,N000282,4593.657
N000212,N000224,355.387
N000212,N003779,97.32
N000212,N003785,1108.08
N000213,N000262,1891.051
N000213,N003800,1054.904
N000213,N000225,3693.06
N000214,N000281,1065.686
N000214,N000217,2980.676
N000215,N000297,2198.695
N000215,N000264,1556.33
N000216,N000289,2993.837
N000216,N000299,3992.815
N000216,N000242,2614.866
N000217,N000281,4753.863
N000218,N000266,811.388
N000218,N000221,4258.487
N000218,N003766,1307.81
N000218,N003764,584.552
N000219,N000262,3163.615
N000219,N003801,536.2
N000219,N000298,8999.59
N000220,N000288,1892.38
N000221,N000245,4659.053
N000221,N000266,1907.663
N000221,N003793,1523.811
N000221,N003766,201.928
N000222,N000293,3155.302
N000224,N000265,4059.9
N000225,N003800,3074.945
N000226,N000241,1597.842
N000226,N000255,6394.965
N000229,N000287,2372.297
N000230,N000280,4000.129
N000231,N000296,1345.706
N000231,N000240,5164.63
N000232,N000295,2306.674
N000236,N000237,2226.699
N000236,N000239,3964.937
N000237,N002023,6026.592
N000237,N000285,7044.604
N000237,N000239,774.991
N000237,N002104,133.76
N000238,N000285,42.02
N000238,N000239,3138.793
N000238,N000267,4710.103
N000238,N000258,4507.383
N000238,N002113,4479.79
N000238,N001905,1599.763
N000239,N000285,2974.295
N000239,N000267,1662.407
N000240,N000296,3921.401
N000241,N000255,2301.465
N000242,N000289,816.679
N000242,N000259,4003.843
N000243,N000290,6201.692
N000245,N000279,2243.961
N000245,N000266,2373.771
N000245,N000263,2502.911
N000246,N000273,4396.268
N000247,N000265,574.431
N000248,N000275,5889.257
N000248,N001930,2473.616
N000249,N002385,851.375
N000249,N002411,978.573
N000249,N002379,1574.137
N000249,N002398,995.296
N000249,N002404,2065.427
N000250,N000291,8691.322
N000250,N002449,531.009
N000250,N000276,1482.152
N000250,N002379,3269.974
N000251,N000268,8611.367
N000251,N000292,4938.619
N000258,N000267,2377.413
N000263,N000265,4854.65
N000264,N000297,3178.322
N000266,N000295,289.293
N000269,N000283,1580.981
N000269,N000287,3633.377
N000269,N000272,2660.855
N000269,N000286,2355.186
N000269,N002386,1678.808
N000270,N001986,2224.723
N000270,N002031,3895.522
N000271,N000274,1009.944
N000272,N000283,2502.116
N000272,N000286,1000.122
N000274,N000289,3945.562
N000276,N002379,2899.905
N000278,N000293,979.534
N000281,N000295,5008.851
N000285,N002104,9576.607
N000286,N002386,5429.763
N000286,N002391,4181.42
N000291,N002449,753.664
N000292,N002351,4762.266
N000292,N002352,9771.361
N000293,N000294,3251.89
N000297,N002031,7030.387
N000297,N001964,6629.307
N000297,N001917,1080.36
N000297,N001950,3157.987
N000300,N000362,8276.966
N000300,N000404,2495.171
N000300,N000320,3090.574
N000300,N000395,5429.624
N000300,N000346,13750.128
N000300,N000329,1309.892
N000301,N000394,5864.933
N000301,N000330,7449.914
N000301,N000325,5025.701
N000301,N000953,1558.335
N000301,N000917,1736.19
N000301,N000932,2025.199
N000302,N000387,4890.037
N000302,N000351,8757.766
N000302,N000347,2797.811
N000302,N000340,846.672
N000302,N000304,4681.679
N000302,N000338,8724.921
N000303,N000307,7080.494
N000303,N000336,1362.66
N000303,N000319,9253.754
N000303,N000311,1394.548
N000303,N000403,14127.428
N000303,N002350,9253.855
N000303,N002427,8804.82
N000303,N000332,19122.316
N000303,N002363,3605.678
N000303,N000415,11002.371
N000304,N003809,2837.974
N000304,N000347,10216.57
N000304,N000338,1402.426
N000304,N003814,1308.113
N000304,N000360,4348.022
N000305,N000892,6074.638
N000305,N000894,5877.933
N000305,N000366,15538.105
N000305,N000371,3678.47
N000305,N000364,10326.411
N000305,N000417,9835.072
N000306,N000378,9203.687
N000306,N000369,6791.721
N000306,N000310,10252.749
N000306,N000379,3945.529
N000306,N000406,5407.245
N000306,N000380,1520.108
N000306,N000308,3433.01
N000306,N000307,3244.278
N000307,N000379,3912.385
N000307,N000308,10983.483
N000307,N000336,6028.753
N000307,N000415,2986.102
N000308,N000378,1946.861
N000308,N000357,8758.308
N000308,N000341,5271.841
N000308,N000415,4899.437
N000309,N000323,3646.899
N000309,N000341,4651.025
N000310,N000369,3240.654
N000310,N000321,8104.243
N000310,N000380,7922.555
N000311,N000318,3385.092
N000311,N000383,7341.223
N000311,N000326,3568.248
N000311,N000403,10164.419
N000311,N000415,6331.921
N000312,N000334,5345.466
N000312,N000381,9887.039
N000312,N002376,5506.984
N000312,N000355,4964.307
N000312,N000337,4119.442
N000313,N000353,10725.76
N000313,N000336,5152.711
N000313,N000393,9421.618
N000313,N000333,3805.069
N000313,N000344,4390.922
N000313,N000361,2243.424
N000314,N000407,5471.454
N000314,N000396,7675.562
N000314,N000356,10364.062
N000314,N000316,3057.621
N000314,N000387,5659.442
N000314,N000401,4371.011
N000314,N000315,6834.67
N000315,N000354,2735.653
N000315,N000316,13281.532
N000315,N000401,4744.332
N000315,N000382,11620.638
N000315,N000363,14408.182
N000315,N000352,3843.57
N000315,N000339,5488.284
N000315,N000373,267.306
N000316,N000387,5975.908
N000316,N000352,7933.312
N000317,N000344,13738.333
N000317,N000361,7874.302
N000317,N000364,523.345
N000317,N000350,11564.114
N000317,N000358,4573.95
N000317,N000349,7042.679
N000318,N000323,7544.851
N000318,N000383,7353.942
N000318,N000341,5502.248
N000318,N000415,2943.505
N000319,N000336,6497.815
N000319,N000393,8354.563
N000319,N000332,4162.397
N000319,N000397,3188.592
