plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
szimulalt_recom,BUDAPEST,67845.0,16438.0,37035.0,30.741,69.259,-38.519,False,0.36,8.595,bp_002;bp_003
szimulalt_recom,BUDAPEST,65384.0,15335.0,34624.0,30.695,69.305,-38.61,False,0.3062,4.656,bp_003;bp_004;bp_015
szimulalt_recom,BUDAPEST,62269.0,15315.0,34661.0,30.645,69.355,-38.711,False,0.3451,-0.33,bp_001;bp_002;bp_012
szimulalt_recom,BUDAPEST,65657.0,15738.0,34735.0,31.181,68.819,-37.638,False,0.3906,5.093,bp_010;bp_014;bp_016
szimulalt_recom,BUDAPEST,68583.0,16441.0,35162.0,31.861,68.139,-36.279,False,0.3776,9.776,bp_010;bp_018;bp_019
szimulalt_recom,BUDAPEST,59912.0,14266.0,29736.0,32.421,67.579,-35.157,False,0.3154,-4.103,bp_020;bp_021
szimulalt_recom,BUDAPEST,64918.0,13912.0,34743.0,28.593,71.407,-42.814,False,0.2757,3.91,bp_007;bp_014;bp_015
szimulalt_recom,BUDAPEST,65189.0,15829.0,34194.0,31.643,68.357,-36.713,False,0.4564,4.344,bp_011;bp_021;bp_022;bp_023
szimulalt_recom,BUDAPEST,67485.0,14204.0,32219.0,30.597,69.403,-38.806,False,0.4263,8.019,bp_008;bp_009;bp_010
szimulalt_recom,BUDAPEST,60741.0,14776.0,32958.0,30.955,69.045,-38.09,False,0.4771,-2.776,bp_011;bp_012
szimulalt_recom,BUDAPEST,69432.0,15306.0,33532.0,31.34,68.66,-37.319,False,0.3124,11.135,bp_005;bp_006;bp_007;bp_008;bp_017;bp_019
szimulalt_recom,CSONGRÁD-CSANÁD,78634.0,16480.0,41756.0,28.299,71.701,-43.403,False,0.3445,1.77,
szimulalt_recom,CSONGRÁD-CSANÁD,77761.0,21855.0,33300.0,39.625,60.375,-20.751,False,0.3468,0.64,
szimulalt_recom,CSONGRÁD-CSANÁD,76696.0,18714.0,35841.0,34.303,65.697,-31.394,False,0.398,-0.739,
szimulalt_recom,CSONGRÁD-CSANÁD,75976.0,19782.0,35613.0,35.711,64.289,-28.578,False,0.3529,-1.671,
szimulalt_recom,FEJÉR,66338.0,21441.0,27995.0,43.371,56.629,-13.258,False,0.2278,-1.419,
szimulalt_recom,FEJÉR,66031.0,20175.0,29648.0,40.493,59.507,-19.013,False,0.302,-1.875,
szimulalt_recom,FEJÉR,67921.0,23998.0,22764.0,51.319,48.681,2.639,True,0.288,0.933,
szimulalt_recom,FEJÉR,69886.0,17819.0,32523.0,35.396,64.604,-29.208,False,0.4286,3.853,
szimulalt_recom,FEJÉR,66289.0,18308.0,33131.0,35.592,64.408,-28.817,False,0.3813,-1.492,
szimulalt_recom,GYŐR-MOSON-SOPRON,74477.0,29809.0,27014.0,52.459,47.541,4.919,True,0.2226,5.713,
szimulalt_recom,GYŐR-MOSON-SOPRON,69500.0,21808.0,31245.0,41.106,58.894,-17.788,False,0.2887,-1.351,
szimulalt_recom,GYŐR-MOSON-SOPRON,68967.0,18384.0,33506.0,35.429,64.571,-29.142,False,0.4067,-2.108,
szimulalt_recom,GYŐR-MOSON-SOPRON,70482.0,22863.0,30808.0,42.598,57.402,-14.803,False,0.197,0.043,
szimulalt_recom,GYŐR-MOSON-SOPRON,68834.0,22175.0,30841.0,41.827,58.173,-16.346,False,0.2684,-2.297,
szimulalt_recom,HAJDÚ-BIHAR,65391.0,17644.0,30625.0,36.553,63.447,-26.893,False,0.3886,1.444,
szimulalt_recom,HAJDÚ-BIHAR,65915.0,19454.0,25671.0,43.111,56.889,-13.777,False,0.3049,2.257,
szimulalt_recom,HAJDÚ-BIHAR,62536.0,17138.0,27707.0,38.216,61.784,-23.568,False,0.2048,-2.985,
szimulalt_recom,HAJDÚ-BIHAR,63961.0,20768.0,20344.0,50.516,49.484,1.031,True,0.2757,-0.774,
szimulalt_recom,HAJDÚ-BIHAR,62278.0,17491.0,28204.0,38.278,61.722,-23.445,False,0.3844,-3.385,
szimulalt_recom,HAJDÚ-BIHAR,66679.0,22098.0,22011.0,50.099,49.901,0.197,True,0.3311,3.442,
szimulalt_recom,HEVES,74169.0,20834.0,34446.0,37.688,62.312,-24.624,False,0.3081,-3.826,
szimulalt_recom,HEVES,80285.0,22651.0,35951.0,38.652,61.348,-22.695,False,0.3417,4.104,
szimulalt_recom,HEVES,76905.0,25251.0,25177.0,50.073,49.927,0.147,True,0.2252,-0.278,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,69980.0,17181.0,33780.0,33.714,66.286,-32.572,False,0.4571,-2.777,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,71991.0,22344.0,27441.0,44.881,55.119,-10.238,False,0.3645,0.017,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,75498.0,20692.0,29916.0,40.887,59.113,-18.226,False,0.231,4.889,
szimulalt_recom,JÁSZ-NAGYKUN-SZOLNOK,70446.0,23685.0,23454.0,50.245,49.755,0.49,True,0.4757,-2.129,
szimulalt_recom,KOMÁROM-ESZTERGOM,80817.0,22002.0,36091.0,37.874,62.126,-24.252,False,0.4263,1.315,
szimulalt_recom,KOMÁROM-ESZTERGOM,78613.0,24303.0,33679.0,41.915,58.085,-16.171,False,0.366,-1.448,
