cache_key,latitude,longitude,talalat
Budapest III|003|Budapest|1034|Nagyszombat utca 19. (Árpád Gimnázium),47.5329636,19.0374789,"structured: {'street': 'Nagyszombat utca 19', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1034'}"
Budapest III|003|Budapest|1034|San Marco utca 81. (Óbudai Kulturális Központ),47.5415264,19.034245,"structured: {'street': 'San Marco utca 81', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1034'}"
Budapest III|003|Budapest|1036|Nagyszombat utca 19. (Árpád Gimnázium),47.5329636,19.0374789,"structured: {'street': 'Nagyszombat utca 19', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1036'}"
Budapest III|003|Budapest|1037|Bécsi út 96/B. (Óbudai Egyetem),47.5337863,19.0343054,"structured: {'street': 'Bécsi út 96/B.', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1037'}"
Budapest III|003|Budapest|1032|Erdőalja út 5. (Általános Iskola),47.5503687,19.0168543,"structured: {'street': 'Erdőalja út 5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1032'}"
Budapest III|003|Budapest|1037|Erdőalja út 5. (Általános Iskola),47.5503687,19.0168543,"structured: {'street': 'Erdőalja út 5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1037'}"
Budapest III|003|Budapest|1037|Bécsi út 375. (Általános Iskola),47.5727777,19.0173394,"structured: {'street': 'Bécsi út 375', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1037'}"
Budapest III|003|Budapest|1036|Mókus utca 2. (Általános Iskola),47.537048,19.0432608,"structured: {'street': 'Mókus utca 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1036'}"
Budapest III|003|Budapest|1036|Mókus utca 1. (Óvoda),47.5391948,19.1904429,"structured: {'street': 'Mókus utca 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1036'}"
Budapest III|003|Budapest|1032|Solymár utca 12. (Bölcsőde),47.5412404,19.0365187,"structured: {'street': 'Solymár utca 12', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1032'}"
Budapest III|003|Budapest|1032|Zápor utca 90. (Általános Iskola),47.542378,19.0345611,"structured: {'street': 'Zápor utca 90', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1032'}"
Budapest III|003|Budapest|1032|Váradi utca 15/B. (Általános Iskola),47.5445236,19.0310633,"structured: {'street': 'Váradi utca 15/B.', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1032'}"
