telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Csobaj,546,367,366,183,159
Csobád,481,352,346,161,135
Csobánka,2767,2217,2197,792,1235
Csokonyavisonta,1098,798,788,389,336
Csokvaomány,498,360,359,160,172
Csolnok,2512,1984,1971,576,1121
Csoma,329,273,272,138,110
Csombárd,208,167,164,73,75
Csomád,1417,1203,1200,373,714
Csongrád,12256,9790,9746,3778,4958
Csonkahegyhát,257,224,222,102,105
Csonkamindszent,126,96,95,52,35
Csopak,1634,1404,1396,474,802
Csorna,9302,8072,8044,3398,4138
Csorvás,3669,2708,2697,956,1472
Csurgó,3656,2734,2714,1116,1376
Csurgónagymarton,111,85,83,33,39
Csáfordjánosfa,164,122,120,60,50
Csákberény,907,790,785,381,314
Csákvár,4158,3355,3344,1471,1577
Csákány,169,96,96,66,25
Csákánydoroszló,1203,988,985,493,440
Csánig,297,257,256,146,84
Csány,1721,1127,1112,564,427
Csányoszró,469,309,302,125,161
Csárdaszállás,328,257,255,97,130
Császló,284,180,176,120,49
Császár,1427,1118,1105,500,502
Császártöltés,1731,1266,1241,431,590
Csátalja,1017,729,722,353,289
Csávoly,1366,960,945,395,442
Csécse,663,523,519,248,205
Csém,316,273,273,151,94
Csénye,562,482,477,222,216
Csép,278,223,221,114,94
Csépa,1224,785,763,390,285
Csér,23,22,22,5,15
Csévharaszt,1663,1276,1270,521,628
Csókakő,1252,1042,1034,440,479
Csólyospálos,1220,970,961,428,409
Csór,1510,1255,1251,513,608
Csót,716,551,548,281,223
Csöde,49,43,43,32,6
Csögle,478,363,359,194,135
Csökmő,1396,1019,1009,443,497
Csököly,705,495,490,289,176
Csömend,207,170,169,101,61
Csömödér,458,347,339,133,148
Csömör,7619,6577,6546,1895,4123
Csönge,274,200,200,132,59
Csörnyeföld,287,202,202,99,90
Csörög,1675,1235,1226,572,545
Csörötnek,643,442,439,250,154
Csősz,790,614,611,271,279
Csővár,503,426,422,202,167
Cák,225,190,190,93,81
Cégénydányád,480,371,368,201,152
Cún,158,103,98,46,48
Dabas,15500,13064,13001,4998,6993
Dabronc,314,213,213,120,61
Dabrony,314,221,217,103,96
Dad,783,668,663,290,308
Dalmand,902,645,644,336,254
Damak,170,157,153,55,81
Daraboshegy,81,77,72,28,37
Darnó,112,73,72,45,24
Darnózseli,1278,1046,1038,468,477
Daruszentmiklós,961,677,675,323,288
Darvas,402,292,286,136,136
Darány,667,457,440,190,195
Debercsény,70,54,54,23,18
Debrecen,126231,103081,102583,33422,61401
Debréte,9,8,8,6,2
Decs,3047,2177,2156,1111,903
Dejtár,1078,798,785,346,352
Demecser,3092,2261,2231,1087,960
Demjén,512,435,434,162,232
Dencsháza,415,255,247,102,128
Derecske,6451,4907,4872,2236,2255
Derekegyház,1061,852,846,279,474
