telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Lénárddaróc,196,153,153,78,64
Létavértes,5473,3613,3554,1698,1527
Lócs,84,71,71,37,25
Lókút,370,308,304,86,160
Lónya,591,347,341,235,83
Lórév,239,188,185,78,97
Lövő,1145,964,961,431,466
Lövőpetri,374,277,275,160,89
Lúzsok,155,112,108,66,33
Lőkösháza,1241,918,907,385,417
Lőrinci,4295,3262,3249,1259,1622
Madaras,2155,1406,1393,581,706
Madocsa,1438,1189,1184,627,446
Maglóca,81,59,59,31,23
Maglód,9619,8043,7999,2606,4680
Magosliget,228,162,161,140,16
Magy,648,451,449,249,168
Magyaralmás,1270,1098,1089,463,510
Magyaratád,625,504,485,202,256
Magyarbánhegyes,1466,1012,1000,479,441
Magyarbóly,719,523,520,261,203
Magyarcsanád,985,698,692,375,247
Magyardombegyház,160,101,100,54,35
Magyaregregy,546,429,422,148,208
Magyaregres,471,365,363,153,182
Magyarföld,38,35,34,7,22
Magyargencs,385,278,275,137,118
Magyargéc,583,446,438,251,141
Magyarhertelend,477,379,373,112,223
Magyarhomorog,639,461,457,244,189
Magyarkeresztúr,345,287,285,151,122
Magyarkeszi,770,508,499,259,202
Magyarlak,611,522,521,283,200
Magyarlukafa,68,44,41,24,16
Magyarmecske,243,182,176,101,55
Magyarnádalja,207,180,178,99,74
Magyarnándor,869,686,677,265,336
Magyarpolány,1036,866,852,266,432
Magyarsarlós,241,201,200,74,98
Magyarszecsőd,331,284,284,177,81
Magyarszentmiklós,200,163,162,53,91
Magyarszerdahely,349,277,276,138,116
Magyarszombatfa,187,158,157,85,54
Magyarszék,785,660,658,285,294
Magyartelek,138,113,102,49,26
Majosháza,1372,1142,1134,443,599
Majs,717,525,518,216,252
Makkoshotyka,616,401,393,247,116
Maklár,1941,1589,1588,571,895
Makád,989,746,743,345,316
Makó,17440,13810,13605,4497,7793
Malomsok,405,331,326,207,102
Marcalgergelyi,289,225,225,116,93
Marcali,11649,9574,9524,3271,5552
Marcaltő,609,501,499,224,235
Markaz,1428,1203,1197,436,651
Markotabödöge,413,341,340,191,115
Markóc,40,32,31,17,10
Maroslele,1651,1300,1296,542,633
Martfű,4668,3816,3800,1054,2425
Martonfa,193,167,165,59,84
Martonvásár,4340,3648,3637,1266,2054
Martonyi,244,152,149,98,42
Maráza,130,87,85,36,22
Maróc,47,32,32,13,12
Marócsa,64,43,42,30,8
Matty,243,179,175,94,65
Mecseknádasd,1205,955,936,304,394
Mecsekpölöske,321,258,256,115,126
Mecsér,515,416,412,197,192
Medgyesbodzás,689,491,454,176,228
Medgyesegyháza,2613,1904,1885,679,1001
Medina,574,435,434,208,189
Meggyeskovácsi,549,399,397,186,178
Megyaszó,1876,1247,1199,606,450
Megyehíd,258,227,227,86,120
Megyer,24,18,18,12,6
Mekényes,204,158,152,56,82
Mencshely,226,177,173,61,100
Mende,3448,2789,2776,935,1570
Merenye,167,138,135,84,43
Mernye,1034,811,806,323,430
Mersevát,458,394,391,206,151
Mesterháza,124,106,104,48,39
Mesteri,165,133,133,77,44
Mesterszállás,534,438,436,193,210
Meszes,120,91,90,27,48
Meszlen,170,135,135,66,57
Mesztegnyő,931,700,697,349,300
Mezőberény,7462,5463,5394,1934,2859
Mezőcsokonya,900,675,670,306,309
Mezőcsát,4448,3184,3140,1332,1558
Meződ,98,71,71,20,45
Mezőfalva,3579,2632,2623,963,1373
Mezőgyán,701,519,516,261,229
Mezőhegyes,3608,2613,2593,843,1590
Mezőhék,245,187,184,103,64
Mezőkeresztes,2729,1939,1925,650,1051
Mezőkomárom,708,519,512,262,196
Mezőkovácsháza,4214,3149,3126,1187,1690
Mezőkövesd,14947,12295,12204,3783,7392
Mezőladány,750,502,500,288,182
Mezőlak,736,580,574,254,268
Mezőnagymihály,742,583,578,245,285
Mezőnyárád,1297,1046,1043,308,639
Mezőpeterd,528,356,353,215,120
Mezősas,479,313,306,125,129
Mezőszemere,814,553,542,283,184
Mezőszentgyörgy,969,678,674,309,306
Mezőszilas,1597,1088,1077,598,392
Mezőtárkány,1154,745,718,351,256
Mezőtúr,12265,9515,9451,3326,5417
Mezőzombor,1684,1149,1141,555,516
Mezőörs,1005,785,783,389,318
Miháld,538,415,412,205,166
Mihályfa,284,237,235,127,87
Mihálygerge,423,315,313,137,158
Mihályháza,580,436,431,205,193
Mihályi,876,747,743,454,225
Mike,439,289,281,126,117
Mikebuda,542,377,375,179,151
Mikekarácsonyfa,209,146,120,77,12
Mikepércs,3957,3140,3114,1204,1609
Miklósi,138,108,108,48,47
Mikosszéplak,240,159,157,102,47
Mikófalva,520,385,385,179,178
Mikóháza,399,338,336,106,185
Milejszeg,251,211,208,112,80
Milota,674,520,517,319,156
Mindszent,5119,3851,3834,1535,1863
Mindszentgodisa,576,392,384,167,142
Mindszentkálla,200,167,166,74,77
Misefa,207,170,168,47,105
Miske,1201,863,855,408,373
Miskolc,100924,78628,78179,23671,48293
Miszla,207,168,167,115,29
Mocsa,1651,1354,1341,613,609
Mogyoród,6315,5356,5340,1917,3006
Mogyorósbánya,691,581,578,175,355
Mogyoróska,61,49,49,21,25
Moha,460,392,389,152,194
Mohora,688,486,469,200,183
Mohács,16267,12848,12710,4757,6604
Molnaszecsőd,332,270,268,148,98
Molnári,525,403,398,176,184
Molvány,139,89,88,42,39
Monaj,197,130,130,61,64
Monok,1128,865,852,389,375
Monor,17095,13911,13815,4969,7642
Monorierdő,4142,3258,3227,1215,1692
Monostorapáti,854,691,686,333,291
Monostorpályi,1727,1264,1242,547,592
Monoszló,88,77,76,28,42
Monyoród,144,111,110,42,51
Mosdós,658,469,461,213,187
Mosonmagyaróvár,26572,21695,21590,7432,12506
Mosonszentmiklós,2062,1665,1656,725,762
Mosonszolnok,1414,1186,1182,526,566
Mosonudvar,316,252,252,113,120
Mozsgó,637,447,442,209,198
Mucsfa,270,204,202,119,68
Mucsi,325,200,195,127,48
Muhi,381,326,325,107,182
Murakeresztúr,1316,995,971,370,503
Murarátka,182,139,137,54,55
Muraszemenye,355,284,280,133,124
Murga,44,38,36,21,10
Murony,905,734,726,271,414
Mád,1544,1267,1260,459,702
Mágocs,1751,1273,1253,528,612
Mályi,3424,2749,2743,813,1720
Mályinka,371,303,296,123,137
Mánd,224,150,148,57,79
Mándok,2916,1981,1961,951,917
Mánfa,643,512,511,165,298
Mány,1896,1512,1501,632,602
Márfa,136,109,109,45,58
Máriahalom,524,420,418,154,225
Máriakálnok,1664,1412,1402,596,724
Máriakéménd,413,283,281,118,106
Márianosztra,602,511,488,209,224
Máriapócs,1482,1096,1075,532,439
Márkháza,194,165,165,110,41
Márkó,1358,1196,1189,360,676
Márok,328,267,265,127,90
Márokföld,45,42,42,9,27
Márokpapi,449,302,295,208,73
Mártély,1016,864,863,325,453
Mátraballa,560,460,456,179,230
Mátraderecske,1349,998,988,381,520
Mátramindszent,570,439,437,195,195
Mátranovák,1245,907,905,381,441
Mátraszele,707,530,521,228,257
Mátraszentimre,322,259,259,72,153
Mátraszőlős,1148,887,882,361,452
Mátraterenye,1301,942,936,438,403
Mátraverebély,1316,887,880,459,334
Mátyus,224,128,123,81,36
Mátyásdomb,577,418,417,199,179
Mátészalka,14678,12022,11927,4207,6949
Mátételke,394,247,242,132,86
Máza,888,681,658,192,346
Méhkerék,1596,1270,1259,587,599
Méhtelek,498,355,351,191,129
Mélykút,3711,2585,2550,992,1303
Méra,1033,753,747,341,349
Mérges,84,74,73,38,26
Mérk,1605,1087,1074,681,320
Mónosbél,285,235,234,72,134
Mór,10341,8738,8685,3338,4452
Mórahalom,5195,4174,4141,1540,2018
Móricgát,323,264,262,118,111
Mórichida,656,551,544,293,209
Mórágy,550,418,415,185,175
Múcsony,2127,1520,1514,526,837
Mőcsény,259,214,214,102,94
Nadap,587,518,514,165,304
Nagyacsád,508,412,407,135,225
Nagyalásony,398,279,278,160,93
Nagyar,481,330,325,182,109
Nagyatád,7657,6013,5982,1979,3551
Nagybajcs,913,794,789,311,394
Nagybajom,2352,1648,1634,826,689
Nagybakónak,309,242,239,119,97
Nagybaracska,1676,1174,1161,572,488
Nagybarca,648,491,490,134,320
Nagyberki,1063,803,800,327,397
Nagyberény,1068,779,778,343,366
Nagybudmér,131,102,102,60,29
Nagybánhegyes,912,670,665,277,327
Nagybárkány,472,390,385,266,80
Nagybörzsöny,481,368,345,162,114
Nagycenk,2143,1873,1870,693,1029
Nagycsepely,272,220,219,120,82
Nagycserkesz,1198,795,789,410,322
Nagycsány,103,78,78,21,54
Nagycsécs,578,402,391,198,159
Nagydobos,1571,1007,994,531,364
Nagydobsza,441,297,295,134,143
Nagydorog,1948,1400,1390,717,542
Nagydém,250,181,179,116,45
Nagyecsed,4508,2899,2846,1560,1038
Nagyesztergár,918,746,732,290,350
Nagyfüged,1263,819,792,447,244
Nagygeresd,196,170,169,89,73
Nagygyimót,430,342,338,189,116
Nagygörbő,130,105,105,60,30
Nagyhajmás,205,146,138,53,60
Nagyhalász,4181,2821,2786,1268,1311
Nagyharsány,1117,775,763,342,369
Nagyhegyes,2243,1860,1853,796,889
Nagyhuta,32,27,27,7,16
Nagyhódos,105,72,71,43,19
Nagyigmánd,2205,1790,1770,881,743
Nagyiván,780,575,574,308,226
Nagykamarás,897,634,625,255,301
Nagykanizsa,37117,30255,30130,9647,18214
Nagykapornak,686,513,511,92,377
Nagykarácsony,1050,792,788,348,366
Nagykereki,1005,597,594,385,178
Nagykeresztúr,197,159,159,81,66
Nagykinizs,199,147,146,70,64
Nagykorpád,362,272,265,135,110
Nagykovácsi,6098,5385,5368,1533,3369
Nagykozár,1539,1316,1288,392,778
Nagykutas,341,294,288,144,127
Nagykálló,7133,5473,5421,2055,2986
Nagykáta,9569,7381,7337,3205,3548
Nagykónyi,776,551,550,285,206
Nagykökényes,448,383,383,150,181
Nagykölked,128,102,101,52,41
Nagykörű,1208,871,850,406,372
Nagykőrös,17909,13693,13603,5426,7062
Nagylak,318,234,234,115,89
Nagylengyel,395,338,338,128,181
Nagylóc,1077,743,736,376,250
Nagylók,791,596,595,271,284
Nagylózs,742,599,593,255,288
Nagymaros,3851,3261,3243,1380,1551
Nagymizdó,97,91,91,54,16
Nagymágocs,2103,1571,1555,558,825
Nagymányok,1737,1388,1381,580,664
Nagynyárád,509,419,417,202,160
Nagyoroszi,1494,1126,1115,449,542
Nagypall,285,232,226,107,92
Nagypeterd,501,406,400,143,212
Nagypirit,190,152,152,76,62
Nagypáli,434,372,370,144,204
Nagyrada,348,273,271,141,109
Nagyrozvágy,487,312,308,164,125
Nagyrábé,1591,1093,1081,551,438
Nagyrákos,190,160,159,73,71
Nagyrécse,871,728,727,250,433
Nagyréde,2582,2125,2121,777,1126
Nagyrév,503,361,360,135,196
Nagysimonyi,735,630,627,298,249
Nagyszakácsi,257,166,164,76,77
Nagyszekeres,396,254,251,134,104
Nagyszentjános,1633,1360,1347,579,688
Nagyszokoly,619,444,436,233,164
Nagyszékely,273,211,206,109,77
Nagyszénás,3575,2703,2681,1012,1457
Nagysáp,1210,852,848,410,369
Nagytarcsa,4724,4172,4164,1306,2496
Nagytevel,412,349,339,138,158
Nagytilaj,105,62,61,34,22
Nagytálya,683,592,591,226,296
Nagytótfalu,260,206,206,108,90
Nagytőke,305,234,234,111,77
Nagyvarsány,1086,839,838,383,403
Nagyvejke,110,93,93,56,23
Nagyveleg,520,435,434,222,165
Nagyvenyim,3276,2764,2757,868,1697
Nagyvisnyó,713,560,548,266,235
Nagyváty,219,177,175,108,48
Nagyvázsony,1378,1115,1111,412,610
Nagyér,355,224,224,89,103
Nagyút,516,369,357,152,171
Nak,393,287,286,162,107
Napkor,2939,2238,2212,947,1072
Narda,366,312,312,190,98
Naszály,1885,1506,1500,551,808
Nekézseny,495,311,309,143,147
Nemesapáti,373,308,307,157,118
Nemesbikk,690,548,528,225,251
Nemesborzova,88,66,62,32,23
Nemesbük,542,453,450,217,186
Nemesbőd,504,440,440,152,261
Nemescsó,253,232,226,113,98
Nemesdéd,496,354,340,237,56
Nemesgulács,759,624,620,287,269
Nemesgörzsöny,522,416,415,191,190
Nemeshany,280,221,220,117,96
Nemeshetés,204,164,162,80,58
Nemeske,181,137,136,59,65
Nemeskeresztúr,231,199,197,113,70
Nemeskisfalud,76,43,42,27,13
Nemeskocs,251,216,215,109,90
Nemeskolta,292,238,237,106,113
Nemeskér,168,150,150,74,56
Nemesládony,116,101,101,53,35
Nemesmedves,23,19,18,11,6
Nemesnádudvar,1351,1001,983,344,423
Nemesnép,91,77,75,44,30
Nemespátró,211,171,170,94,68
Nemesrempehollós,214,160,159,90,56
Nemesrádó,247,197,197,84,96
Nemesszalók,663,548,546,277,220
Nemesszentandrás,199,156,156,88,53
Nemessándorháza,220,176,176,90,67
Nemesvid,408,286,285,173,100
Nemesvita,272,223,222,95,113
Nemesvámos,2350,2012,2002,727,1095
Nemti,541,424,422,186,196
Neszmély,1052,842,836,346,393
Nick,427,362,362,224,106
Nikla,453,334,327,204,92
Noszlop,767,582,579,237,287
Noszvaj,1450,1245,1237,527,589
Nova,590,479,476,233,216
Novaj,1103,921,912,347,472
Novajidrány,903,596,591,320,228
Nyalka,387,336,336,136,156
Nyergesújfalu,5574,4454,4430,1328,2706
Nyim,244,184,184,84,81
Nyirád,1414,1100,1094,387,612
Nyomár,216,169,169,98,51
Nyugotszenterzsébet,174,119,115,33,74
Nyáregyháza,3084,2396,2382,980,1113
Nyárlőrinc,1814,1462,1455,643,672
Nyársapát,1549,1084,1071,466,512
Nyárád,680,564,563,310,217
Nyékládháza,3913,3149,3135,996,1876
Nyésta,21,16,16,3,13
Nyíracsád,2887,2190,2148,1037,960
Nyíradony,5580,3999,3854,1592,1823
Nyírbogdány,2205,1604,1590,755,735
Nyírbogát,2378,2060,2042,1021,905
Nyírbátor,11039,8662,8609,3092,4965
Nyírbéltek,2030,1562,1550,1042,420
Nyírcsaholy,1641,1164,1146,605,389
Nyírcsászári,872,670,660,343,270
Nyírderzs,423,326,324,215,99
Nyíregyháza,88044,71858,71522,21708,44751
Nyírgelse,843,630,620,289,293
Nyírgyulaj,1456,1019,1014,483,468
Nyíri,263,204,204,128,68
Nyíribrony,850,592,584,318,235
Nyírjákó,633,516,512,240,234
Nyírkarász,1669,1214,1205,647,479
Nyírkáta,1358,1000,987,678,265
Nyírkércs,596,485,480,251,205
Nyírlugos,2030,1553,1539,728,720
Nyírlövő,522,378,374,193,162
Nyírmada,3500,2141,2068,1052,864
Nyírmeggyes,2019,1573,1567,622,836
Nyírmihálydi,1422,881,869,589,238
Nyírmártonfalva,1507,1177,1171,536,560
Nyírparasznya,659,482,476,308,149
Nyírpazony,3073,2510,2505,805,1509
Nyírpilis,599,410,408,319,85
Nyírtass,1443,1023,1009,494,450
Nyírtelek,5352,3958,3934,1522,2085
Nyírtura,1555,1198,1190,363,703
Nyírtét,803,608,605,281,294
Nyírvasvári,1491,1075,1070,630,389
Nyírábrány,2922,1979,1949,1002,779
Nyúl,3635,3122,3114,1160,1713
Nyőgér,271,240,238,117,107
Nábrád,683,544,540,258,256
Nádasd,1073,903,899,506,313
Nádasdladány,1387,1055,1052,410,536
Nádudvar,6508,4762,4724,2174,2188
Nágocs,440,324,321,150,144
Nárai,1109,964,961,399,506
Négyes,223,186,185,69,97
Németbánya,93,84,81,33,35
Németfalu,163,141,138,87,33
Németkér,1283,998,981,448,366
Nézsa,948,772,766,366,313
Nógrád,1254,1064,1063,434,534
Nógrádkövesd,466,386,382,178,175
Nógrádmarcal,337,260,253,125,96
Nógrádmegyer,1222,811,782,451,239
Nógrádsipek,542,439,436,211,164
Nógrádszakál,413,279,277,195,65
Nógrádsáp,713,590,587,304,223
Nóráp,152,134,133,74,53
Nőtincs,956,799,790,362,362
Okorvölgy,57,41,40,17,19
Okorág,115,70,69,41,24
Okány,1658,1173,1159,560,507
Olasz,473,390,387,153,183
Olaszfa,305,219,218,150,52
Olaszfalu,812,689,688,330,288
Olaszliszka,1108,721,706,319,301
Olcsva,509,393,390,214,159
Olcsvaapáti,220,162,155,99,50
Old,217,132,117,50,21
Oltárc,162,107,106,65,38
Onga,3520,2672,2627,951,1421
Orbányosfa,82,66,66,40,20
Orci,435,347,346,122,199
Ordacsehi,594,484,482,268,184
Ordas,326,263,263,117,119
Orfalu,59,53,52,13,24
Orfű,914,752,750,227,456
Orgovány,2539,1889,1883,925,817
Ormosbánya,1116,647,638,280,309
Ormándlak,89,78,78,37,32
Orosháza,24008,19018,18931,5644,11885
Oroszi,106,76,76,29,39
Oroszlány,13357,10038,9964,3605,5544
Oroszló,233,177,173,57,98
Orosztony,285,197,196,105,79
Ortaháza,88,61,60,34,22
Osli,696,591,589,311,212
Ostffyasszonyfa,598,485,483,228,218
Ostoros,2271,1970,1952,534,1264
Oszkó,483,370,369,180,166
Oszlár,251,212,211,79,103
Osztopán,534,375,368,201,149
Ozmánbük,137,112,112,76,24
Ozora,1141,770,768,464,267
Pacsa,1208,904,893,456,377
Padár,88,68,67,42,17
Pakod,645,489,486,256,181
Paks,15394,13142,13078,4698,7257
Palkonya,195,163,160,57,67
Palotabozsok,580,484,481,250,174
Palotás,1280,1055,1053,412,544
Paloznak,478,420,418,159,229
Palé,64,47,46,23,16
Pamlény,38,32,32,15,12
Pamuk,201,144,142,76,63
Pankasz,338,270,270,156,87
Pannonhalma,2694,2151,2145,883,1030
Panyola,400,319,316,149,146
Pap,1400,1062,1055,416,554
Papkeszi,1196,923,905,339,467
Papos,610,489,484,262,192
Parasznya,886,638,630,245,331
Parád,1420,1113,1104,421,576
Parádsasvár,321,267,266,89,154
Paszab,874,577,561,369,156
Pat,129,97,97,45,39
Patak,688,529,524,266,196
Patalom,231,180,173,118,46
Patapoklosi,244,168,161,96,55
Patca,43,34,34,19,13
Patosfa,186,139,139,75,52
Patvarc,580,461,425,180,209
Pecöl,610,504,503,248,213
Pellérd,1838,1486,1485,436,904
Penc,1184,1007,1005,423,470
Penyige,563,408,400,215,157
Penészlek,701,490,481,300,154
Perbál,1672,1394,1378,568,680
Pere,228,156,155,62,80
Perecse,14,10,10,7,2
Pereked,144,122,115,47,41
Perenye,515,452,450,234,179
Peresznye,343,298,297,169,99
Pereszteg,1186,1002,997,451,472
Perkupa,534,354,347,192,126
Perkáta,3068,2167,2159,856,1100
Perőcsény,301,247,243,96,103
Peterd,160,132,132,67,53
Pethőhenye,345,258,257,137,102
Petneháza,1218,930,915,505,333
Petrikeresztúr,276,232,232,112,98
Petrivente,263,210,209,92,93
Pettend,106,70,68,48,16
Petőfibánya,1942,1493,1482,472,849
Petőfiszállás,1120,851,845,358,375
Petőháza,860,753,747,321,353
Petőmihályfa,162,138,138,79,47
Piliny,438,325,322,166,118
Pilis,9339,6747,6702,2628,3159
Pilisborosjenő,3268,2837,2820,784,1764
Piliscsaba,6269,5309,5271,1771,2908
Piliscsév,2029,1632,1626,577,909
Pilisjászfalu,1610,1386,1381,378,867
Pilismarót,1639,1285,1271,604,564
Pilisszentiván,3373,2909,2892,1068,1468
Pilisszentkereszt,1723,1505,1485,571,756
Pilisszentlászló,959,820,816,251,472
Pilisszántó,2177,1826,1819,680,954
Pilisvörösvár,14784,12730,12641,4082,7182
Pincehely,1677,1313,1306,729,479
Pinkamindszent,138,112,111,63,39
Pinnye,279,246,244,111,91
Piricse,1299,1017,1005,711,254
Pirtó,716,570,558,243,256
Piskó,166,131,127,111,16
Pitvaros,996,767,761,303,386
Pocsaj,1892,1307,1279,771,412
Pogány,1012,846,843,258,488
Pogányszentpéter,370,279,276,136,124
Polgár,6064,4122,4070,1562,2048
Polgárdi,5123,3921,3899,1730,1831
Polány,167,117,115,73,35
Pomáz,14017,11864,11806,3921,6841
Porcsalma,1916,1207,1193,665,407
Pornóapáti,274,247,247,114,112
Poroszló,2029,1488,1469,739,612
Porpác,126,101,100,49,43
Porrog,148,122,122,85,35
Porrogszentkirály,206,152,150,90,51
Porrogszentpál,61,47,47,32,14
Porva,374,302,297,129,137
Potony,140,97,95,49,28
Potyond,81,73,72,46,24
Prügy,1756,1211,1192,790,364
Pula,139,120,120,51,39
Pusztaapáti,16,15,15,8,7
Pusztaberki,144,123,122,50,59
Pusztacsalád,225,200,197,118,66
Pusztacsó,120,110,110,72,32
Pusztadobos,1036,742,734,491,212
Pusztaederics,133,114,113,67,31
Pusztafalu,159,126,125,67,53
Pusztaföldvár,1186,845,843,344,415
Pusztahencse,733,532,528,283,185
Pusztakovácsi,550,396,395,256,115
Pusztamagyaród,417,323,317,163,131
Pusztamiske,295,198,192,103,76
Pusztamonostor,1227,963,958,479,401
Pusztamérges,805,587,580,274,237
Pusztaottlaka,254,188,186,88,74
Pusztaradvány,158,143,142,98,30
Pusztaszabolcs,4665,3643,3621,1493,1815
Pusztaszemes,309,256,251,116,118
Pusztaszentlászló,442,375,368,150,185
Pusztaszer,1108,840,838,360,413
Pusztavacs,1008,761,759,340,343
Pusztavám,1918,1599,1589,572,733
Pusztazámor,947,803,800,265,462
Putnok,4543,3004,2961,1149,1587
Pácin,1075,685,678,374,260
Pácsony,225,180,179,77,87
Páhi,913,703,697,394,256
Páka,823,637,636,318,273
Pákozd,2959,2560,2552,958,1393
Pálfa,1053,756,739,422,273
Pálfiszeg,134,107,104,54,33
Pálháza,770,647,644,224,370
Páli,305,222,221,111,88
Pálmajor,215,135,135,117,15
Pálmonostora,1315,944,934,443,415
Pálosvörösmart,496,435,433,122,263
Pánd,1433,956,947,398,425
Pányok,37,29,29,12,14
Pápa,23996,19498,19419,7465,10412
Pápadereske,225,190,188,84,92
Pápakovácsi,449,343,338,177,130
Pápasalamon,268,155,154,111,31
Pápateszér,927,679,673,337,281
Pápoc,220,184,184,128,40
Páprád,114,97,97,56,33
Pári,456,328,322,169,124
Pásztori,222,192,191,97,78
Pásztó,6848,5671,5636,2258,2887
Pátka,1468,1240,1215,550,579
Pátroha,2148,1540,1528,864,592
Páty,6337,5303,5248,1829,2988
Pátyod,506,357,355,194,141
Pázmánd,1815,1546,1535,548,856
Pázmándfalu,943,752,746,300,392
Pécel,15331,13206,13115,4081,8024
Pécs,101740,80939,80463,23580,49890
Pécsbagota,78,56,56,27,26
Pécsdevecser,72,50,49,10,25
Pécsely,483,403,400,144,198
Pécsudvard,632,552,549,146,345
Pécsvárad,3097,2461,2444,982,1173
Pély,984,584,581,283,247
Pénzesgyőr,272,225,224,118,88
Pér,1967,1655,1645,606,897
Péterhida,112,94,93,36,43
Péteri,2108,1704,1696,578,927
Pétervására,1643,1252,1248,582,568
Pétfürdő,3487,2768,2755,888,1612
Pócsa,137,99,97,22,31
Pócsmegyer,2319,1938,1930,726,1015
Pócspetri,1204,835,830,395,354
Pókaszepetk,741,591,589,282,260
Pórszombat,214,185,184,120,51
Pósfa,214,193,193,104,77
Pölöske,602,483,481,269,175
Pölöskefő,274,210,207,92,99
Pörböly,427,326,325,113,184
Pördefölde,43,40,40,25,13
Pötréte,203,169,168,83,68
Püski,527,453,450,212,197
Püspökhatvan,1066,896,892,459,353
Püspökladány,10503,8084,8039,3248,4183
Püspökmolnári,675,556,551,285,212
Püspökszilágy,580,482,481,212,223
Radostyán,461,364,359,165,165
Ragály,463,325,324,158,149
Rajka,1286,1070,1063,505,438
Rakaca,538,330,328,274,50
Rakacaszend,194,141,139,108,16
Rakamaz,3494,2486,2463,948,1268
Ramocsa,23,19,19,7,9
Ramocsaháza,1059,747,739,394,300
Raposka,202,179,177,83,76
Ravazd,961,797,795,339,377
Recsk,2068,1505,1487,572,784
Regenye,122,78,73,28,30
Regéc,54,45,45,24,16
Regöly,770,549,545,298,186
Remeteszőlős,789,692,690,214,411
Resznek,204,148,147,72,67
Rezi,1027,785,781,416,300
Ricse,1110,612,601,284,240
Rigyác,317,244,243,123,103
Rigács,153,100,98,47,44
Rimóc,1150,851,847,517,241
Rinyabesenyő,139,98,94,58,31
Rinyakovácsi,120,94,93,76,17
Rinyaszentkirály,264,174,172,79,82
Rinyaújlak,212,137,136,81,45
Rinyaújnép,27,22,22,16,4
Rohod,907,676,665,408,202
Romhány,1697,1264,1253,534,570
Romonya,433,369,364,115,197
Románd,257,224,219,100,91
Rozsály,502,337,333,214,100
Rudabánya,1791,1140,1130,608,451
Rudolftelep,519,329,325,120,171
Rum,949,745,742,304,369
Ruzsa,1890,1421,1405,632,569
Rábacsanak,432,356,355,168,161
Rábacsécsény,467,393,391,213,142
Rábagyarmat,582,506,503,313,172
Rábahídvég,722,585,581,302,230
Rábakecöl,570,483,481,233,206
Rábapatona,2322,1952,1943,840,973
Rábapaty,1374,1120,1115,457,555
Rábapordány,792,659,657,294,330
Rábasebes,71,63,63,29,26
Rábaszentandrás,377,315,311,182,101
Rábaszentmihály,395,347,347,188,135
Rábaszentmiklós,112,94,94,58,28
Rábatamási,785,651,648,361,224
Rábatöttös,173,147,145,85,52
Rábcakapi,133,111,111,67,32
Rácalmás,3894,3233,3219,954,2012
Ráckeresztúr,2857,2276,2263,877,1213
Ráckeve,10991,9105,9059,3035,5287
Rád,1566,1331,1326,580,624
Rádfalva,153,107,106,54,43
Rádóckölked,241,202,202,94,83
Ráksi,347,267,267,133,111
Rákóczibánya,470,359,357,127,207
Rákóczifalva,4194,3344,3330,1061,1907
Rákócziújfalu,1468,1093,1093,384,586
Rápolt,105,70,69,42,22
Rásonysápberencs,377,237,230,104,99
Rátka,762,634,624,115,311
Rátót,181,152,151,82,59
Réde,996,830,828,403,359
Rédics,731,571,558,244,279
Rém,929,606,604,260,296
Répcelak,2008,1727,1717,908,682
Répceszemere,213,171,171,103,59
Répceszentgyörgy,102,87,87,47,36
Répcevis,268,238,238,132,80
Répáshuta,351,293,291,101,138
Rétalap,402,319,318,179,120
Rétközberencs,784,499,490,304,164
Rétság,2042,1705,1697,668,808
Révfülöp,908,753,750,335,362
Révleányvár,318,210,205,135,59
Rózsafa,253,185,184,72,100
Rózsaszentmárton,1538,1232,1217,471,598
Röjtökmuzsaj,347,298,297,157,97
Rönök,306,252,251,155,74
Röszke,2831,2160,2149,871,1026
Sajtoskál,235,190,189,99,76
Sajóbábony,1951,1372,1356,555,676
Sajóecseg,816,695,694,252,368
Sajógalgóc,243,176,176,59,95
Sajóhídvég,705,404,402,227,137
Sajóivánka,501,412,411,100,257
Sajókaza,2132,1316,1297,631,543
Sajókeresztúr,1199,959,955,302,578
Sajókápolna,303,233,231,85,135
Sajólád,2225,1508,1499,618,748
Sajólászlófalva,337,255,253,91,138
Sajómercse,157,114,113,51,56
Sajónémeti,315,212,210,131,62
Sajópetri,1114,708,702,289,353
Sajópálfala,579,477,466,193,230
Sajópüspöki,376,265,263,104,144
Sajósenye,280,240,238,87,132
Sajószentpéter,8889,5800,5770,1851,3459
Sajószöged,1816,1499,1491,425,928
Sajóvelezd,557,397,391,134,209
Sajóvámos,1594,1329,1308,497,705
Sajóörös,1173,1007,1001,281,650
Salföld,70,61,60,29,26
Salgótarján,27705,20974,20805,7338,11654
Salköveskút,368,306,304,146,128
Salomvár,466,392,390,190,170
Sand,303,237,233,114,94
Sarkad,7257,5021,4968,2348,2238
Sarkadkeresztúr,1130,866,859,381,400
Sarród,732,647,642,315,263
Sarud,787,509,496,219,220
Segesd,1739,1033,1014,455,450
Sellye,2016,1522,1512,595,788
Selyeb,337,197,194,138,45
Semjén,373,185,183,109,60
Semjénháza,442,359,359,122,210
Seregélyes,3493,2698,2679,1196,1251
Serényfalva,712,519,514,181,288
Siklós,7166,5423,5388,1950,3048
Siklósbodony,110,82,80,48,32
Siklósnagyfalu,286,166,163,109,43
Sikátor,252,195,193,91,84
Sima,24,22,22,4,16
Simaság,408,337,336,181,134
Simonfa,298,256,255,87,139
Simontornya,2912,2139,2131,866,1138
Sirok,1347,1073,1069,454,545
